Abminga,SG5310,"(135,-26),(133.5,-27)"
Lucas,SF5202,"(129,-20),(127.5,-21)"
Macdonald,SF5214,"(129,-23),(127.5,-24)"
Machattie,SG5402,"(141,-24),(139.5,-25)"
Mackay,SF5508,"(150,-21),(148.5,-22)"
Mackunda,SF5411,"(142.5,-22),(141,-23)"
Madley,SG5103,"(124.5,-24),(123,-25)"
Madura SP,SH5213,"(127.5,-31),(126,-32)"
Maer,SC5505,"(145.5,-9),(144,-10)"
Malcolm SP,SI5107,"(124.5,-33),(123,-34)"
Mallacoota,SJ5508,"(150,-37),(148.5,-38)"
Manara,SI5404,"(144,-32),(142.5,-33)"
Mandorah,SE5113,"(121.5,-19),(120,-20)"
Maneroo,SF5416,"(144,-23),(142.5,-24)"
Manila,SH5609,"(151.5,-30),(150,-31)"
Mann,SG5211,"(130.5,-26),(129,-27)"
Manuka,SF5408,"(144,-21),(142.5,-22)"
Marble Bar,SF5008,"(120,-21),(118.5,-22)"
Marree,SH5405,"(139.5,-29),(138,-30)"
Maryborough,SG5606,"(153,-25),(151.5,-26)"
Mason,SH5206,"(129,-29),(127.5,-30)"
Maurice,SH5208,"(132,-29),(130.5,-30)"
McDills,SG5307,"(136.5,-25),(135,-26)"
Mckinlay,SF5407,"(142.5,-21),(141,-22)"
McLarty Hills,SE5115,"(124.5,-19),(123,-20)"
Medusa Banks,SD5210,"(129,-14),(127.5,-15)"
Melbourne,SJ5505,"(145.5,-37),(144,-38)"
Menindee,SI5403,"(142.5,-32),(141,-33)"
Menzies,SH5105,"(121.5,-29),(120,-30)"
Mildura,SI5411,"(142.5,-34),(141,-35)"
Milingimbi SP,SD5302,"(135,-12),(133.5,-13)"
Millungera,SE5415,"(142.5,-19),(141,-20)"
Milparinka,SH5407,"(142.5,-29),(141,-30)"
Minigwal,SH5107,"(124.5,-29),(123,-30)"
Minilya SP,SF4916,"(114,-23),(112.5,-24)"
Mitchell,SG5511,"(148.5,-26),(147,-27)"
Monkey Mia SP,SG4916,"(114,-27),(112.5,-28)"
Montague Sound SP,SD5112,"(126,-14),(124.5,-15)"
Monto,SG5601,"(151.5,-24),(150,-25)"
Moora,SH5010,"(117,-30),(115.5,-31)"
Moree,SH5508,"(150,-29),(148.5,-30)"
Mornington Island SP,SE5401,"(139.5,-15),(138,-17)"
Morris,SF5116,"(126,-23),(124.5,-24)"
Mossman,SE5501,"(145.5,-15),(144,-17)"
Mouhnt Egerton,SG5003,"(118.5,-24),(117,-25)"
Moun t Bruce,SF5011,"(118.5,-22),(117,-23)"
Mount Anderson,SE5111,"(124.5,-18),(123,-19)"
Mount Bannerman,SE5213,"(127.5,-19),(126,-20)"
Mount Barker SP,SI5011,"(118.5,-34),(117,-35)"
Mount Coolon,SF5507,"(148.5,-21),(147,-22)"
Mount Doreen,SF5212,"(132,-22),(130.5,-23)"
Mount Drummond,SE5312,"(138,-18),(136.5,-19)"
Mount Elizabeth,SE5201,"(127.5,-15),(126,-17)"
Mount Evelyn,SD5305,"(133.5,-13),(132,-14)"
Mount Liebig,SF5216,"(132,-23),(130.5,-24)"
Mount Marumba,SD5306,"(135,-13),(133.5,-14)"
Mount Peake,SF5305,"(133.5,-21),(132,-22)"
Mount Phillips,SG5002,"(117,-24),(115.5,-25)"
Mount Ramsay,SE5209,"(127.5,-18),(126,-19)"
Mount Rennie,SF5215,"(130.5,-23),(129,-24)"
Mount Solitaire,SF5204,"(132,-20),(130.5,-21)"
Mount Theo,SF5208,"(132,-21),(130.5,-22)"
Mount Whelan,SF5413,"(139.5,-23),(138,-24)"
Mount Young,SD5315,"(136.5,-15),(135,-15)"
Mt Isa,SF5401,"(139.5,-20),(138,-21)"
Mundubbera,SG5605,"(151.5,-25),(150,-26)"
Munro,SE5114,"(123,-19),(121.5,-20)"
Murgoo,SG5014,"(117,-27),(115.5,-28)"
Murloocoppie,SH5302,"(135,-28),(133.5,-29)"
Muttaburra,SF5509,"(145.5,-22),(144,-23)"
Nabberu,SG5105,"(121.5,-25),(120,-26)"
Napperby,SF5309,"(133.5,-22),(132,-23)"
Naracoorte,SJ5402,"(141,-36),(139.5,-37)"
Naretha,SH5116,"(126,-31),(124.5,-32)"
Narrabri,SH5512,"(150,-30),(148.5,-31)"
Narrandera,SI5510,"(147,-34),(145.5,-35)"
Narromine,SI5503,"(148.5,-32),(147,-33)"
Neale,SH5104,"(126,-28),(124.5,-29)"
Newcastle,SI5602,"(153,-32),(151.5,-33)"
Newcastle Waters,SE5305,"(133.5,-17),(132,-18)"
Newdegate,SI5008,"(120,-33),(118.5,-34)"
Newman,SF5016,"(120,-23),(118.5,-24)"
Ninghan,SH5007,"(118.5,-29),(117,-30)"
Noolyeana,SG5316,"(138,-27),(136.5,-28)"
Noonkanbah,SE5112,"(126,-18),(124.5,-19)"
Noorina,SH5203,"(130.5,-28),(129,-29)"
Normanton,SE5407,"(142.5,-17),(141,-18)"
Norseman,SI5102,"(123,-32),(121.5,-33)"
Nullagine,SF5105,"(121.5,-21),(120,-22)"
Nullarbor,SH5216,"(132,-31),(130.5,-32)"
Nuyts,SI5301,"(133.5,-32),(132,-33)"
Nymagee,SI5502,"(147,-32),(145.5,-33)"
Nyngan,SH5515,"(148.5,-31),(147,-32)"
Olary,SI5402,"(141,-32),(139.5,-33)"
Onslow,SF5005,"(115.5,-21),(114,-22)"
Oodnadatta,SG5315,"(136.5,-27),(135,-28)"
Ooldea,SH5212,"(132,-30),(130.5,-31)"
Orford Bay,SC5416,"(144,-11),(142.5,-12)"
Orroroo,SI5401,"(139.5,-32),(138,-33)"
Ouyen,SI5415,"(142.5,-35),(141,-36)"
Pandie Pandie,SG5409,"(139.5,-26),(138,-27)"
Parachilna,SH5413,"(139.5,-31),(138,-32)"
Paterson Range,SF5106,"(123,-21),(121.5,-22)"
Peak Hill,SG5008,"(120,-25),(118.5,-26)"
Pender,SE5102,"(123,-15),(121.5,-17)"
Penola SP,SJ5406,"(141,-37),(139.5,-38)"
Percival,SF5108,"(126,-21),(124.5,-22)"
Percy Isles,SF5605,"(151.5,-21),(150,-22)"
Perenjori,SH5006,"(117,-29),(115.5,-30)"
Permberton SP,SI5010,"(117,-34),(115.5,-35)"
Perth SP,SH5014,"(117,-31),(115.5,-32)"
Petermann Ranges,SG5207,"(130.5,-25),(129,-26)"
Pine Creek,SD5208,"(132,-13),(130.5,-14)"
Pinjarra,SI5002,"(117,-32),(115.5,-33)"
Pinnaroo,SI5414,"(141,-35),(139.5,-36)"
Plumridge,SH5108,"(126,-29),(124.5,-30)"
Poolowanna,SG5312,"(138,-26),(136.5,-27)"
Pooncarie,SI5408,"(144,-33),(142.5,-34)"
Port Augusta,SI5304,"(138,-32),(136.5,-33)"
Port Clinton,SF5609,"(151.5,-22),(150,-23)"
Port Hedland SP,SF5004,"(120,-20),(118.5,-21)"
Port Keyts,SD5211,"(130.5,-14),(129,-15)"
Port Phillip SP,SJ5509,"(145.5,-38),(144,-39)"
Prince Regent,SD5116,"(126,-15),(124.5,-15)"
Proserpine,SF5504,"(150,-20),(148.5,-21)"
Pyramid,SF5007,"(118.5,-21),(117,-22)"
Quilpie,SG5509,"(145.5,-26),(144,-27)"
Ranken,SE5316,"(138,-19),(136.5,-20)"
Rason,SH5103,"(124.5,-28),(123,-29)"
Ravensthorpe,SI5105,"(121.5,-33),(120,-34)"
Rawlinson,SG5202,"(129,-24),(127.5,-25)"
Red River,SE5408,"(144,-17),(142.5,-18)"
Renmark,SI5410,"(141,-34),(139.5,-35)"
Richmond,SF5404,"(144,-20),(142.5,-21)"
Robert,SG5111,"(124.5,-26),(123,-27)"
Robertson,SF5113,"(121.5,-23),(120,-24)"
Robinson Ranges,SG5007,"(118.5,-25),(117,-26)"
Robinson River SP,SE5304,"(138,-15),(136.5,-17)"
Rockhampton,SF5613,"(151.5,-23),(150,-24)"
Rodinga,SG5302,"(135,-24),(133.5,-25)"
Roebourne,SF5003,"(118.5,-20),(117,-21)"
Roma,SG5512,"(150,-26),(148.5,-27)"
Roper River,SD5311,"(136.5,-14),(135,-15)"
Roy Hill,SF5012,"(120,-22),(118.5,-23)"
Rudall,SF5110,"(123,-22),(121.5,-23)"
Runton,SF5115,"(124.5,-23),(123,-24)"
Rutland Plains,SD5415,"(142.5,-15),(141,-15)"
Ryan,SF5213,"(127.5,-23),(126,-24)"
Sahara,SF5107,"(124.5,-21),(123,-22)"
Sandover River,SF5308,"(138,-21),(136.5,-22)"
Sandstone,SG5016,"(120,-27),(118.5,-28)"
Scott,SG5206,"(129,-25),(127.5,-26)"
Seemore,SH5112,"(126,-30),(124.5,-31)"
Simpson Desert North,SG5304,"(138,-24),(136.5,-25)"
Simpson Desert South,SG5308,"(138,-25),(136.5,-26)"
Singleton,SI5601,"(151.5,-32),(150,-33)"
Sir Samuel,SG5113,"(121.5,-27),(120,-28)"
South Lake Woods,SE5309,"(133.5,-18),(132,-19)"
Southern Cross,SH5016,"(120,-31),(118.5,-32)"
Springsure,SG5503,"(148.5,-24),(147,-25)"
Springvale,SF5414,"(141,-23),(139.5,-24)"
St Arnaud,SJ5404,"(144,-36),(142.5,-37)"
St George,SH5504,"(150,-28),(148.5,-29)"
St Lawrence,SF5512,"(150,-22),(148.5,-23)"
Stanley,SG5106,"(123,-25),(121.5,-26)"
Stansmore,SF5206,"(129,-21),(127.5,-22)"
Streaky Bay,SI5302,"(135,-32),(133.5,-33)"
Strzelecki,SH5402,"(141,-28),(139.5,-29)"
Surat,SG5516,"(150,-27),(148.5,-28)"
Swan Hill,SI5416,"(144,-35),(142.5,-36)"
Sydney SP,SI5605,"(151.5,-33),(150,-34)"
Tabletop,SF5111,"(124.5,-22),(123,-23)"
Talbot,SG5209,"(127.5,-26),(126,-27)"
Tallangatta,SJ5503,"(148.5,-36),(147,-37)"
Tallaringa,SH5305,"(133.5,-29),(132,-30)"
Tambo,SG5502,"(147,-24),(145.5,-25)"
Tamworth,SH5613,"(151.5,-31),(150,-32)"
Tanami,SE5215,"(130.5,-19),(129,-20)"
Tanami East,SE5216,"(132,-19),(130.5,-20)"
Tangorin,SF5505,"(145.5,-21),(144,-22)"
Tanumbirini,SE5302,"(135,-15),(133.5,-17)"
Tarcoola,SH5310,"(135,-30),(133.5,-31)"
Taroom,SG5508,"(150,-25),(148.5,-26)"
Tasmania North East,SK5503,"(148.5,-40),(147,-41)"
Tasmania North West,SK5502,"(147,-40),(145.5,-41)"
Tasmania South East,SK5507,"(148.5,-41),(147,-42)"
Tasmania South West,SK5506,"(147,-41),(145.5,-42)"
Tennant Creek,SE5314,"(135,-19),(133.5,-20)"
Thargominda,SG5416,"(144,-27),(142.5,-28)"
The Granites,SF5203,"(130.5,-20),(129,-21)"
Throssell,SG5115,"(124.5,-27),(123,-28)"
Thursday Island,SC5411,"(142.5,-10),(141,-11)"
Tickalara,SH5403,"(142.5,-28),(141,-29)"
Tiwi Islands SP,SC5216,"(132,-11),(130.5,-12)"
Tobermorey,SF5312,"(138,-22),(136.5,-23)"
Toompine,SG5513,"(145.5,-27),(144,-28)"
Torrens,SH5316,"(138,-31),(136.5,-32)"
Townsville,SE5514,"(147,-19),(145.5,-20)"
Trainor,SG5102,"(123,-24),(121.5,-25)"
Turee Creek,SF5015,"(118.5,-23),(117,-24)"
Uluru/Ayers Rock,SG5208,"(132,-25),(130.5,-26)"
Ural,SF5112,"(126,-22),(124.5,-23)"
Urandangi,SF5405,"(139.5,-21),(138,-22)"
Urapunga,SD5310,"(135,-14),(133.5,-15)"
Urisino,SH5408,"(144,-29),(142.5,-30)"
Vernon,SH5201,"(127.5,-28),(126,-29)"
Victoria River Downs,SE5204,"(132,-15),(130.5,-17)"
Wagga Wagga,SI5515,"(148.5,-35),(147,-36)"
Waigen,SG5214,"(129,-27),(127.5,-28)"
Walgett,SH5511,"(148.5,-30),(147,-31)"
Walhallow,SE5307,"(136.5,-17),(135,-18)"
Walsh,SE5404,"(144,-15),(142.5,-17)"
Wangaratta,SJ5502,"(147,-36),(145.5,-37)"
Wanna,SH5202,"(129,-28),(127.5,-29)"
Warbuton,SJ5506,"(147,-37),(145.5,-38)"
Warragul SP,SJ5510,"(147,-38),(145.5,-39)"
Warri,SG5104,"(126,-24),(124.5,-25)"
Warrina,SH5303,"(136.5,-28),(135,-29)"
Warwick,SH5602,"(153,-28),(151.5,-29)"
Waterloo,SE5203,"(130.5,-15),(129,-17)"
Wave Hill,SE5208,"(132,-17),(130.5,-18)"
Webb,SF5210,"(129,-22),(127.5,-23)"
Weipa SP,SD5403,"(142.5,-12),(141,-13)"
Wells,SH5204,"(132,-28),(130.5,-29)"
Wessel Islands SP,SC5316,"(138,-11),(136.5,-12)"
Westmoreland,SE5405,"(139.5,-17),(138,-18)"
Westwood,SG5116,"(126,-27),(124.5,-28)"
White Cliffs,SH5412,"(144,-30),(142.5,-31)"
Whyalla,SI5308,"(138,-33),(136.5,-34)"
Widgiemooltha,SH5114,"(123,-31),(121.5,-32)"
Wilcannia,SH5416,"(144,-31),(142.5,-32)"
Wilson,SF5209,"(127.5,-22),(126,-23)"
Wiluna,SG5109,"(121.5,-26),(120,-27)"
Windorah,SG5408,"(144,-25),(142.5,-26)"
Winnecke Creek,SE5212,"(132,-18),(130.5,-19)"
Winning Pool,SF5013,"(115.5,-23),(114,-24)"
Wintinna,SG5314,"(135,-27),(133.5,-28)"
Winton,SF5412,"(144,-22),(142.5,-23)"
Wollongong SP,SI5609,"(151.5,-34),(150,-35)"
Woodroffe,SG5212,"(132,-26),(130.5,-27)"
Wooramel,SG5005,"(115.5,-25),(114,-26)"
Wyandra,SG5514,"(147,-27),(145.5,-28)"
Wyloo,SF5010,"(117,-22),(115.5,-23)"
Wyola,SH5207,"(130.5,-29),(129,-30)"
Yalgoo,SH5002,"(117,-28),(115.5,-29)"
Yampi,SE5103,"(124.5,-15),(123,-17)"
Yanrey SP,SF5009,"(115.5,-22),(114,-23)"
Yantabulla,SH5505,"(145.5,-29),(144,-30)"
Yardea,SI5303,"(136.5,-32),(135,-33)"
Yaringa,SG5009,"(115.5,-26),(114,-27)"
Yarraloola,SF5006,"(117,-21),(115.5,-22)"
Yarrie,SF5101,"(121.5,-20),(120,-21)"
Yorke Peninsula SP,SI5312,"(138,-34),(136.5,-35)"
Youanmi,SH5004,"(120,-28),(118.5,-29)"
Yowalga,SG5112,"(126,-26),(124.5,-27)"
Zanthus,SH5115,"(124.5,-31),(123,-32)"
